B.L..Scientific.name,order.Birdlife,family_name.Birdlife,Birdlife.Common.name.x,Colour.richness,BCI,Distinct.patterning,Unusual.appendages,Unusual.adornments,IUCNstatus,Extinction.risk,migration,tp,tl,habitat_1,colonial,log.mass,Africa.log.Range,ED_score,Sources
Corvus crassirostris,PASSERIFORMES,Corvidae,Thick-billed Raven,4,0,1,0,0,LC,5,1,Diurnal,Omnivore,Bare habitat,Not colonial,3.054995862,5.880166756,3.38321,6
Crithagra burtoni,PASSERIFORMES,Fringillidae,Thick-billed Seedeater,4,0,1,0,0,LC,5,1,Diurnal,Herbivore,Shrubland,Not colonial,1.484299839,5.600754349,5.385026,1
Amblyospiza albifrons,PASSERIFORMES,Ploceidae,Thick-billed Weaver,5,0.022727273,1,0,0,LC,5,1,Diurnal,Omnivore,Artificial,Colonial,1.622731965,6.530093792,11.537156,4
Rhinoptilus cinctus,CHARADRIIFORMES,Glareolidae,Three-banded Courser,3,0.035714286,1,1,0,LC,5,1,Nocturnal,Carnivore,Shrubland,Not colonial,2.021189299,6.29163854,11.83437,5
Tchagra jamesi,PASSERIFORMES,Malaconotidae,Three-streaked Tchagra,5,0,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,1.437750557,6.068741662,9.358334,1
Luscinia luscinia,PASSERIFORMES,Muscicapidae,Thrush Nightingale,3,0,1,0,0,LC,5,4,Diurnal,Carnivore,Forest,Not colonial,1.376576957,6.229715555,8.230762,1
Chamaetylas choloensis,PASSERIFORMES,Muscicapidae,Thyolo Alethe,4,0.019230769,1,0,0,EN,2,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.615950052,3.668482309,8.140482,1
Cisticola rufilatus,PASSERIFORMES,Cisticolidae,Tinkling Cisticola,7,0,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,1.053078451,6.439135658,4.208098,1
Cinnyris minullus,PASSERIFORMES,Nectariniidae,Tiny Sunbird,8,0.056451613,1,1,0,LC,5,1,Diurnal,Omnivore,Forest,Not colonial,0.755874841,6.07763666,7.067074,1
Pholidornis rushiae,PASSERIFORMES,Scotocercidae,Tit-hylia,5,0.017857143,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,0.77815125,6.49643101,18.974511,2
Phyllastrephus hypochloris,PASSERIFORMES,Pycnonotidae,Toro Olive Greenbul,6,0,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,1.366422957,5.129237262,9.094031,1
Emarginata tractrac,PASSERIFORMES,Muscicapidae,Tractrac Chat,3,0,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,1.318063335,6.006931357,5.001981,4
Cisticola woosnami,PASSERIFORMES,Cisticolidae,Trilling Cisticola,6,0,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.130333768,6.11088763,4.220819,3
Pterodroma arminjoniana,PROCELLARIIFORMES,Procellariidae,Trindade Petrel,4,0,1,0,0,VU,3,4,Nocturnal,Carnivore,Aquatic,Colonial,2.595496222,2.052413311,4.230166,1
Onychognathus tristramii,PASSERIFORMES,Sturnidae,Tristram's Starling,5,0.055555556,1,0,0,LC,5,1,Diurnal,Herbivore,Bare habitat,Colonial,2.089905111,4.020125735,6.944508,2
Sylvia deserticola,PASSERIFORMES,Sylviidae,Tristram's Warbler,5,0.022727273,1,0,0,LC,5,4,Diurnal,Carnivore,Shrubland,Not colonial,0.934498451,6.476908807,3.990637,4
